feature,mean_abs_shap
sttl,3.1008112
ct_state_ttl,0.72591174
service_dns,0.6242477
ct_srv_dst,0.47973564
sbytes,0.4196483
ct_dst_sport_ltm,0.4086531
smean,0.24785851
dbytes,0.23281553
ct_srv_src,0.20055927
ct_dst_src_ltm,0.19978844
proto_other,0.19447248
dmean,0.15617186
synack,0.14569715
ct_dst_ltm,0.12979561
service_-,0.09891357
dur,0.09720021
dload,0.078333944
proto_unas,0.07465139
ct_src_ltm,0.07289388
tcprtt,0.0689823
sloss,0.06882281
sinpkt,0.059063632
dloss,0.058502566
sload,0.05610494
ct_src_dport_ltm,0.05333441
trans_depth,0.05107116
service_http,0.044642895
sjit,0.040909655
dinpkt,0.03458654
response_body_len,0.033366922
spkts,0.027971586
dpkts,0.027841479
djit,0.026617795
dtcpb,0.024958339
ackdat,0.02473449
rate,0.024098368
dttl,0.021285277
stcpb,0.018940385
swin,0.017903026
state_CON,0.013821392
proto_udp,0.012799078
ct_flw_http_mthd,0.011299795
proto_ospf,0.006125458
service_ftp,0.0055261166
proto_igmp,0.0053201425
proto_sctp,0.0023317887
service_smtp,0.0021704498
state_RST,0.00045489363
proto_icmp,0.00040368573
is_ftp_login,0.00022795798
ct_ftp_cmd,0.0
dwin,0.0
proto_any,0.0
is_sm_ips_ports,0.0
proto_tcp,0.0
proto_arp,0.0
service_ftp-data,0.0
service_dhcp,0.0
proto_rsvp,0.0
service_pop3,0.0
service_radius,0.0
service_snmp,0.0
service_ssh,0.0
service_irc,0.0
service_ssl,0.0
state_ECO,0.0
state_INT,0.0
state_FIN,0.0
state_PAR,0.0
state_REQ,0.0
state_URN,0.0
state_no,0.0
